rcn;code;title;shortTitle;language
664975;INT-01-2014;Enhancing and focusing research and innovation cooperation with the Union�s key international partner countries - proposals targeting Russia and China;;en
664991;INSO-2-2014;Understanding and supporting business model innovation;;en
664838;ISIB-08b-2014;Bridging research and innovation efforts for a sustainable bioeconomy;;en
664721;SC5-13b-2014;Strategic international dialogues and cooperation on raw materials with technologically advanced countries;;en
664725;WASTE-4c-2014;Secondary raw materials inventory;;en
665000;LCE-18-2015;Supporting Joint Actions on demonstration and validation of innovative energy solutions;;en
664845;LCE-02-2014;Developing the next generation technologies of renewable electricity and heating/cooling;;en
664996;INSO-7-2014;Towards joint programming under Horizon 2020;;en
664993;INSO-4-2015;Innovative schemes for open innovation and science 2.0;;en
664971;REFLECTIVE-7-2014;Advanced 3D modelling for accessing and understanding European cultural assets;;en
664824;ICT-38-2015;International partnership building and support to dialogues with high income countries;;en
664982;INT-06-2015;Re-invigorating the partnership between the two shores of the Mediterranean;;en
664999;INSO-10-2015;SME business model innovation;;en
665049;FoF-10-2015;Manufacturing of custom made parts for personalised products;;en
664826;EUB-1-2015;Cloud Computing, including security aspects;;en
664719;SC5-11e-2015;New metallurgical systems ;;en
664722;SC5-13d-2015;Raw materials research and innovation coordination;;en
664648;COMPET-03-2014;In-Space electrical propulsion and station keeping;;en
664983;INT-07-2015;Towards a new geopolitical order in the South and East Mediterranean region;;en
664723;SC5-13e-2015;Raw materials intelligence capacity;;en
665023;NMP-23-2015;Novel materials by design for substituting critical materials;;en
664976;INT-01-2015;Enhancing and focusing research and innovation cooperation with the Union�s key international partner countries - proposals targeting Australia, USA, Brazil, South Africa, Ukraine;;en
664652;COMPET-07-2014;Space exploration � Life support;;en
664651;COMPET-06-2014;Bottom-up space technologies at low TRL;;en
664997;INSO-8-2014;Synchronised Call initiatives;;en
664710;EE-18-2015;New technologies for utilization of heat recovery in large industrial systems, considering the whole energy cycle from heat production to transformation, delivery and end use;;en
664712;EE-20-2015;Project development assistance for innovative bankable and aggregated sustainable energy investment schemes and projects;;en
665140;GERI-3-2015;Evaluation of initiatives to promote gender equality in research policy and research organisations;;en
664974;REFLECTIVE-10-2014;Mobilising the network of National Contact Points in Societal Challenge 6;;en
664637;GALILEO-2-2015;Small and Medium Enterprise (SME) based EGNSS applications;;en
665020;NMP-20-2014;Widening materials models;;en
664977;INT-02-2014;Encouraging the research and innovation cooperation between the Union and selected regional partners � proposals targeting Black Sea, Middle East, Africa;;en
665046;FoF-07-2014;Support for the enhancement of the impact of FoF PPP projects;;en
664624;EINFRA-8-2014;Research and Education Networking � G�ANT;;en
664642;EO-2-2014;Climate Change relevant space-based Data reprocessing and calibration;;en
664948;NFRP-10-2014;Education and training (Bologna and Copenhagen processes);;en
664978;INT-02-2015;Encouraging the research and innovation cooperation between the Union and selected regional partners � proposals targeting Southern Mediterranean Neighbourhood, Eastern Partnership;;en
665162;FETPROACT-1-2014;Global Systems Science (GSS);;en
665156;GARRI-7-2014;Science with and for Society National Contact Points (NCPs) in H2020;;en
665155;GARRI-6-2014;Reducing the risk of exporting non ethical practices to third countries;;en
664657;EO-1-2015;Bringing EO applications to the market;;en
665170;PHC-01-2014;Understanding health, ageing and disease: determinants, risk factors and pathways;;en
664626;INFRASUPP-1-2014;Innovation support measures;;en
664825;ICT-39-2015;International partnership building in low and middle income countries;;en
665004;NMP-04-2014;High-definition printing of multifunctional materials;;en
665024;NMP-24-2015;Low-energy solutions for drinking water production;;en
664713;EE-21-2015;Development and market roll-out of innovative energy services and financial schemes for sustainable energy;;en
665139;GERI-2-2014;"Impact of gender diversity on Research &amp; Innovation";;en
665151;GARRI-2-2015;Responsible Research and Innovation in industrial context;;en
664627;INFRASUPP-2-2015;Innovative procurement pilot action in the field of scientific instrumentation;;en
665010;NMP-10-2014;Biomaterials for the treatment of diabetes mellitus;;en
664947;NFRP-09-2015;Transmutation of minor actinides (Towards industrial application);;en
664830;EUJ-2-2014;Optical communications;;en
665159;FETOPEN-1-2014;FET-Open research projects;;en
665141;GERI-4-2014;Support to research organisations to implement gender equality plans;;en
664770;ISIB-02-2014;Closing the research and innovation divide: the crucial role of innovation support services and knowledge exchange;;en
664711;EE-19-2015;Improving the financeability and attractiveness of sustainable energy investments;;en
665026;NMP-26-2014;"Joint EU &amp; MS activity on the next phase of research in support of regulation 'NANOREG II'";;en
664852;LCE-06-2015;Transmission grid and wholesale market;;en
664714;WASTE-4b-2014;Global waste dimension;;en
665174;PHC-05-2014;Health promotion and disease prevention: translating 'omics' into stratified approaches;;en
665002;NMP-02-2015;Integration of novel nano materials into existing production lines;;en
664617;EINFRA-1-2014;Managing, preserving and computing with big research data;;en
664764;BG-12-2015;Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth;;en
665171;PHC-02-2015;Understanding disease: systems medicine;;en
665005;NMP-05-2014;Industrial-scale production of nanomaterials for printing applications;;en
665014;NMP-14-2015;ERA-NET on Materials (including Materials for Energy);;en
664867;LCE-17-2015;Highly flexible and efficient fossil fuel power plants;;en
664832;EUJ-4-2014;Experimentation and development on federated Japan - EU testbeds;;en
665163;FETPROACT-2-2014;Knowing, doing, being: cognition beyond problem solving;;en
664851;LCE-05-2015;Innovation and technologies for the deployment of meshed off-shore grids  ;;en
665007;NMP-07-2015;Additive manufacturing for tabletop nanofactories;;en
664772;ISIB-03-2015;Unlocking the growth potential of rural areas through enhanced governance and social innovation;;en
665025;NMP-25-2014;Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs;;en
665175;PHC-06-2014;Evaluating existing screening and prevention programmes;;en
664998;INSO-9-2015;Innovative mobile e-government applications by SMEs;;en
665176;PHC-07-2014;Improving the control of infectious epidemics and foodborne outbreaks through rapid identification of pathogens;;en
664866;LCE-16-2014;Understanding, preventing and mitigating the potential environmental impacts and risks of shale gas exploration and exploitation;;en
664766;BG-14-2014;Supporting international cooperation initiatives:  Atlantic Ocean Cooperation Research Alliance;;en
665027;NMP-27-2014;Coordination of EU and international efforts in safety of nanotechnology;;en
664827;EUB-2-2015;High Performance Computing (HPC);;en
