new_org_id	name	shortName	name_normal	country	numProj	nproj_with_contrib	totContribution
0ca87aa80cccae4fddf7a91da0ce226e	GLASS TECHNOLOGY SERVICES LIMITED	GTS	UK-glass-technology-services	UK	 1	 1	112647,50
0cc16147269c6a7e1ca076afaac9f0ed	KAYSER ITALIA SRL	KAYSER ITALIA SRL	IT-kayser-italia	IT	 1	 1	50000,00
0cca782520976b118629b0ab527d86f7	MACHINEFABRIEK BOLIER BV	BOL	NL-machinefabriek-bolier	NL	 1	 1	120050,00
0ccb27648f5b7344c17b71c1b4364dd4	AGROMET SRL	Agromet	IT-agromet	IT	 1	 1	130375,00
0cd334f3cf3aa9401ffea68974ce121f	PHASE CHANGE MATERIAL PRODUCTS LTD	PCM PRODUC	UK-phase-change-material-products	UK	 1	 1	329375,00
0ce4adce1426ab68a39cdffbbfb4f94c	A.V. SHUBNIKOV INSTITUTE OF CRYSTALLOGRAPHY RUSSIAN ACADEMY OF SCIENCES	IC RAS	RU-a-v-shubnikov-institute-of-crystallography-russian-academy-of-sciences	RU	 1	 1	22500,00
0d03d136221a64fe38a8d94b8056d998	FOV FABRICS AB	FOV	SE-fov-fabrics-ab	SE	 1	 1	179375,00
0d05e746fda8b0c5c21a0c74b21fc6b4	ELHUYAR-ZUBIZE SL	Elhuyar	ES-elhuyar-zubize	ES	 1	 1	206625,00
0d1b50ea2273c1b35c40cc4074f6bd38	HIGHWAY RESOURCE SOLUTIONS LTD	HRS	UK-highway-resource-solutions	UK	 1	 1	809644,50
0d25a6756284b51b684a71a4c40026d1	THE INITIATIVE	The Initiative	PK-initiative	PK	 1	 1	324790,00
0d47dd9da116463c04a0e31c079c3b79	ZUTEC INC. (IRELAND) LIMITED	Zutec	IE-zutec-inc-ireland	IE	 1	 1	151488,75
0d5401f4828d45e53f3f57163e96dd67	PRZEDSIEBIORSTWO AMEPOX SP ZOO	AXME	PL-przedsiebiorstwo-amepox-sp-zoo	PL	 1	 1	100125,00
0d54ca2985f2354ac0f54160833774bc	ENGINEERING SUPPORT AND INTELLECTUAL SOLUTIONS GMBH (ESIS GMBH)	ESIS GmbH	DE-engineering-support-and-intellectual-solutions-gmbh-esis	DE	 1	 1	119113,00
0d66b5e8ef6a841d9f37cae77577a7c0	DELFLAND NURSERIES LIMITED	Delfland	UK-delfland-nurseries	UK	 1		
0d6ae76b444a9e07629a1050b433c2ca	IBM NEDERLAND BV	IBM	NL-ibm-nederland	NL	 1	 1	654605,88
